Analysis data for 10-pattern-pattern algorithm on x and y signals for n = 2000
# of comparisons: 3859, regression equation: ,execution time: 8.767174 s
# of exchanges: 1034, regression equation: 
count,incoming signal,x signal,y signal
0,0,0,0
1,1,0,0
2,1,0,0
3,1,1,0
4,1,1,1
5,1,0,1
6,0,0,0
7,1,1,0
8,0,1,0
9,1,1,1
10,1,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,1,,
18,1,,
19,0,,
20,1,,
21,0,,
22,0,,
23,0,,
24,0,,
25,1,,
26,1,,
27,1,,
28,1,,
29,0,,
30,1,,
31,0,,
32,0,,
33,0,,
34,1,,
35,0,,
36,1,,
37,0,,
38,1,,
39,1,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,1,,
46,1,,
47,1,,
48,0,,
49,0,,
50,1,,
51,1,,
52,0,,
53,0,,
54,0,,
55,0,,
56,1,,
57,0,,
58,1,,
59,1,,
60,0,,
61,0,,
62,1,,
63,1,,
64,1,,
65,1,,
66,0,,
67,0,,
68,1,,
69,1,,
70,1,,
71,0,,
72,1,,
73,0,,
74,1,,
75,0,,
76,1,,
77,1,,
78,0,,
79,0,,
80,0,,
81,0,,
82,1,,
83,0,,
84,1,,
85,1,,
86,0,,
87,1,,
88,1,,
89,1,,
90,1,,
91,1,,
92,1,,
93,1,,
94,1,,
95,0,,
96,1,,
97,0,,
98,0,,
99,0,,
100,1,,
101,0,,
102,0,,
103,0,,
104,0,,
105,1,,
106,0,,
107,1,,
108,0,,
109,1,,
110,1,,
111,1,,
112,1,,
113,1,,
114,1,,
115,0,,
116,1,,
117,0,,
118,1,,
119,1,,
120,0,,
121,1,,
122,0,,
123,0,,
124,1,,
125,0,,
126,0,,
127,1,,
128,0,,
129,0,,
130,1,,
131,0,,
132,0,,
133,0,,
134,0,,
135,1,,
136,0,,
137,0,,
138,1,,
139,1,,
140,1,,
141,1,,
142,1,,
143,1,,
144,0,,
145,1,,
146,0,,
147,1,,
148,0,,
149,0,,
150,0,,
151,1,,
152,1,,
153,1,,
154,0,,
155,0,,
156,0,,
157,1,,
158,0,,
159,0,,
160,0,,
161,0,,
162,1,,
163,0,,
164,0,,
165,0,,
166,0,,
167,1,,
168,0,,
169,1,,
170,1,,
171,0,,
172,1,,
173,0,,
174,1,,
175,0,,
176,1,,
177,0,,
178,1,,
179,1,,
180,0,,
181,0,,
182,0,,
183,1,,
184,0,,
185,0,,
186,0,,
187,1,,
188,1,,
189,1,,
190,1,,
191,0,,
192,1,,
193,1,,
194,0,,
195,0,,
196,0,,
197,0,,
198,0,,
199,0,,
200,1,,
201,1,,
202,1,,
203,1,,
204,0,,
205,0,,
206,1,,
207,0,,
208,0,,
209,0,,
210,1,,
211,1,,
212,1,,
213,0,,
214,0,,
215,1,,
216,1,,
217,1,,
218,0,,
219,0,,
220,1,,
221,0,,
222,0,,
223,1,,
224,1,,
225,1,,
226,0,,
227,1,,
228,0,,
229,0,,
230,1,,
231,1,,
232,1,,
233,1,,
234,1,,
235,1,,
236,0,,
237,0,,
238,0,,
239,1,,
240,1,,
241,1,,
242,0,,
243,0,,
244,0,,
245,0,,
246,1,,
247,1,,
248,0,,
249,0,,
250,0,,
251,1,,
252,0,,
253,1,,
254,1,,
255,1,,
256,0,,
257,1,,
258,1,,
259,0,,
260,1,,
261,1,,
262,0,,
263,1,,
264,0,,
265,0,,
266,0,,
267,1,,
268,1,,
269,0,,
270,1,,
271,0,,
272,1,,
273,1,,
274,0,,
275,1,,
276,0,,
277,1,,
278,1,,
279,0,,
280,1,,
281,0,,
282,1,,
283,0,,
284,1,,
285,1,,
286,1,,
287,1,,
288,1,,
289,1,,
290,0,,
291,1,,
292,0,,
293,1,,
294,0,,
295,1,,
296,0,,
297,1,,
298,0,,
299,1,,
300,0,,
301,1,,
302,1,,
303,0,,
304,1,,
305,0,,
306,1,,
307,1,,
308,1,,
309,0,,
310,1,,
311,1,,
312,1,,
313,0,,
314,0,,
315,0,,
316,0,,
317,1,,
318,1,,
319,1,,
320,0,,
321,0,,
322,0,,
323,0,,
324,1,,
325,0,,
326,0,,
327,1,,
328,1,,
329,1,,
330,1,,
331,0,,
332,0,,
333,0,,
334,1,,
335,1,,
336,1,,
337,0,,
338,0,,
339,0,,
340,0,,
341,0,,
342,0,,
343,1,,
344,0,,
345,1,,
346,1,,
347,1,,
348,1,,
349,1,,
350,0,,
351,1,,
352,1,,
353,1,,
354,1,,
355,0,,
356,1,,
357,1,,
358,1,,
359,1,,
360,1,,
361,1,,
362,1,,
363,1,,
364,1,,
365,1,,
366,0,,
367,0,,
368,1,,
369,0,,
370,0,,
371,0,,
372,1,,
373,1,,
374,1,,
375,0,,
376,1,,
377,0,,
378,1,,
379,1,,
380,1,,
381,0,,
382,1,,
383,0,,
384,1,,
385,1,,
386,0,,
387,1,,
388,1,,
389,0,,
390,1,,
391,1,,
392,0,,
393,1,,
394,0,,
395,0,,
396,1,,
397,1,,
398,1,,
399,1,,
400,1,,
401,1,,
402,0,,
403,0,,
404,0,,
405,1,,
406,1,,
407,0,,
408,1,,
409,0,,
410,1,,
411,0,,
412,0,,
413,1,,
414,0,,
415,1,,
416,0,,
417,0,,
418,0,,
419,0,,
420,0,,
421,1,,
422,1,,
423,0,,
424,1,,
425,1,,
426,1,,
427,0,,
428,0,,
429,0,,
430,1,,
431,1,,
432,1,,
433,0,,
434,0,,
435,1,,
436,0,,
437,0,,
438,0,,
439,1,,
440,1,,
441,0,,
442,1,,
443,1,,
444,1,,
445,1,,
446,0,,
447,1,,
448,1,,
449,0,,
450,0,,
451,1,,
452,0,,
453,0,,
454,0,,
455,0,,
456,0,,
457,0,,
458,0,,
459,1,,
460,1,,
461,0,,
462,1,,
463,0,,
464,1,,
465,0,,
466,0,,
467,1,,
468,0,,
469,1,,
470,0,,
471,0,,
472,0,,
473,1,,
474,0,,
475,1,,
476,1,,
477,1,,
478,0,,
479,0,,
480,1,,
481,1,,
482,1,,
483,0,,
484,1,,
485,1,,
486,0,,
487,1,,
488,1,,
489,1,,
490,0,,
491,1,,
492,0,,
493,1,,
494,1,,
495,1,,
496,1,,
497,0,,
498,1,,
499,1,,
500,0,,
501,0,,
502,0,,
503,0,,
504,0,,
505,1,,
506,0,,
507,1,,
508,0,,
509,0,,
510,0,,
511,1,,
512,1,,
513,0,,
514,0,,
515,1,,
516,0,,
517,0,,
518,0,,
519,0,,
520,0,,
521,1,,
522,0,,
523,1,,
524,1,,
525,0,,
526,0,,
527,1,,
528,0,,
529,1,,
530,0,,
531,0,,
532,0,,
533,0,,
534,1,,
535,0,,
536,1,,
537,0,,
538,0,,
539,1,,
540,1,,
541,0,,
542,1,,
543,1,,
544,0,,
545,0,,
546,1,,
547,1,,
548,0,,
549,1,,
550,0,,
551,1,,
552,0,,
553,1,,
554,1,,
555,0,,
556,0,,
557,0,,
558,1,,
559,1,,
560,0,,
561,1,,
562,0,,
563,0,,
564,1,,
565,1,,
566,1,,
567,0,,
568,1,,
569,0,,
570,0,,
571,0,,
572,0,,
573,0,,
574,1,,
575,1,,
576,1,,
577,1,,
578,0,,
579,1,,
580,1,,
581,0,,
582,1,,
583,0,,
584,1,,
585,1,,
586,1,,
587,0,,
588,0,,
589,1,,
590,1,,
591,1,,
592,1,,
593,1,,
594,0,,
595,1,,
596,1,,
597,0,,
598,1,,
599,0,,
600,0,,
601,0,,
602,0,,
603,1,,
604,1,,
605,0,,
606,0,,
607,1,,
608,0,,
609,0,,
610,0,,
611,0,,
612,0,,
613,0,,
614,0,,
615,0,,
616,0,,
617,0,,
618,1,,
619,1,,
620,1,,
621,1,,
622,1,,
623,1,,
624,0,,
625,0,,
626,0,,
627,0,,
628,0,,
629,0,,
630,1,,
631,0,,
632,1,,
633,0,,
634,1,,
635,1,,
636,0,,
637,1,,
638,1,,
639,0,,
640,0,,
641,0,,
642,0,,
643,0,,
644,1,,
645,0,,
646,1,,
647,1,,
648,1,,
649,1,,
650,1,,
651,0,,
652,1,,
653,0,,
654,1,,
655,0,,
656,1,,
657,1,,
658,1,,
659,0,,
660,1,,
661,1,,
662,1,,
663,0,,
664,0,,
665,0,,
666,1,,
667,0,,
668,0,,
669,1,,
670,1,,
671,0,,
672,1,,
673,0,,
674,1,,
675,1,,
676,0,,
677,0,,
678,1,,
679,1,,
680,1,,
681,1,,
682,0,,
683,0,,
684,0,,
685,1,,
686,1,,
687,1,,
688,0,,
689,0,,
690,1,,
691,0,,
692,1,,
693,0,,
694,0,,
695,0,,
696,0,,
697,0,,
698,1,,
699,1,,
700,1,,
701,0,,
702,1,,
703,1,,
704,0,,
705,1,,
706,1,,
707,0,,
708,1,,
709,1,,
710,1,,
711,1,,
712,1,,
713,1,,
714,0,,
715,1,,
716,0,,
717,1,,
718,0,,
719,0,,
720,1,,
721,0,,
722,0,,
723,0,,
724,1,,
725,0,,
726,0,,
727,1,,
728,1,,
729,0,,
730,1,,
731,0,,
732,1,,
733,1,,
734,0,,
735,1,,
736,1,,
737,1,,
738,0,,
739,0,,
740,0,,
741,1,,
742,0,,
743,1,,
744,0,,
745,0,,
746,1,,
747,0,,
748,0,,
749,1,,
750,1,,
751,0,,
752,1,,
753,0,,
754,1,,
755,0,,
756,0,,
757,0,,
758,0,,
759,0,,
760,1,,
761,0,,
762,0,,
763,0,,
764,1,,
765,0,,
766,0,,
767,1,,
768,1,,
769,0,,
770,0,,
771,1,,
772,1,,
773,1,,
774,0,,
775,1,,
776,0,,
777,0,,
778,1,,
779,1,,
780,0,,
781,1,,
782,0,,
783,0,,
784,0,,
785,1,,
786,1,,
787,1,,
788,0,,
789,1,,
790,1,,
791,1,,
792,0,,
793,0,,
794,0,,
795,0,,
796,0,,
797,0,,
798,0,,
799,1,,
800,1,,
801,1,,
802,0,,
803,0,,
804,1,,
805,0,,
806,1,,
807,0,,
808,1,,
809,0,,
810,0,,
811,0,,
812,0,,
813,0,,
814,0,,
815,1,,
816,0,,
817,0,,
818,0,,
819,0,,
820,1,,
821,0,,
822,0,,
823,1,,
824,0,,
825,1,,
826,0,,
827,0,,
828,1,,
829,1,,
830,1,,
831,0,,
832,0,,
833,1,,
834,0,,
835,0,,
836,1,,
837,0,,
838,1,,
839,0,,
840,1,,
841,1,,
842,0,,
843,0,,
844,0,,
845,1,,
846,0,,
847,1,,
848,1,,
849,0,,
850,0,,
851,1,,
852,0,,
853,1,,
854,1,,
855,1,,
856,0,,
857,0,,
858,1,,
859,0,,
860,0,,
861,0,,
862,0,,
863,1,,
864,0,,
865,0,,
866,0,,
867,0,,
868,1,,
869,0,,
870,1,,
871,0,,
872,1,,
873,1,,
874,0,,
875,0,,
876,1,,
877,0,,
878,0,,
879,0,,
880,1,,
881,1,,
882,0,,
883,0,,
884,1,,
885,0,,
886,0,,
887,1,,
888,1,,
889,1,,
890,1,,
891,0,,
892,0,,
893,1,,
894,1,,
