Analysis data for 20-pattern-pattern algorithm on x signals for n = 500
# of comparisons: 875, regression equation: ,execution time: 0.604020 s
# of exchanges: 250, regression equation: 
count,incoming signal,x signal,y signal
0,0,1,1
1,0,1,
2,1,0,
3,0,1,
4,1,1,
5,1,1,
6,0,1,
7,1,0,
8,1,1,
9,0,1,
10,1,0,
11,0,1,
12,1,1,
13,0,0,
14,0,0,
15,1,0,
16,1,1,
17,0,0,
18,1,1,
19,0,0,
20,1,,
21,1,,
22,0,,
23,1,,
24,0,,
25,0,,
26,0,,
27,0,,
28,1,,
29,1,,
30,1,,
31,1,,
32,1,,
33,0,,
34,1,,
35,0,,
36,0,,
37,1,,
38,1,,
39,0,,
40,0,,
41,0,,
42,0,,
43,1,,
44,1,,
45,0,,
46,1,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,1,,
53,0,,
54,0,,
55,0,,
56,0,,
57,1,,
58,1,,
59,1,,
60,1,,
61,0,,
62,1,,
63,1,,
64,0,,
65,1,,
66,1,,
67,0,,
68,1,,
69,1,,
70,1,,
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
76,0,,
77,1,,
78,1,,
79,1,,
80,0,,
81,1,,
82,1,,
83,1,,
84,0,,
85,0,,
86,1,,
87,0,,
88,1,,
89,0,,
90,0,,
91,1,,
92,0,,
93,0,,
94,0,,
95,1,,
96,1,,
97,1,,
98,1,,
99,0,,
100,0,,
101,1,,
102,1,,
103,0,,
104,0,,
105,1,,
106,1,,
107,0,,
108,0,,
109,0,,
110,0,,
111,0,,
112,1,,
113,1,,
114,0,,
115,0,,
116,0,,
117,0,,
118,1,,
119,1,,
120,1,,
121,1,,
122,1,,
123,1,,
124,1,,
125,1,,
126,0,,
127,0,,
128,1,,
129,0,,
130,1,,
131,0,,
132,1,,
133,0,,
134,1,,
135,0,,
136,1,,
137,1,,
138,1,,
139,0,,
140,0,,
141,1,,
142,1,,
143,1,,
144,1,,
145,1,,
146,0,,
147,1,,
148,0,,
149,0,,
150,0,,
151,1,,
152,0,,
153,1,,
154,1,,
155,1,,
156,1,,
157,1,,
158,1,,
159,1,,
160,0,,
161,1,,
162,0,,
163,0,,
164,1,,
165,1,,
166,1,,
167,1,,
168,1,,
169,1,,
170,0,,
171,1,,
172,0,,
173,1,,
174,1,,
175,1,,
176,1,,
177,0,,
178,1,,
179,0,,
180,1,,
181,0,,
182,0,,
183,1,,
184,0,,
185,1,,
186,0,,
187,1,,
188,0,,
189,0,,
190,0,,
191,0,,
192,1,,
193,0,,
194,1,,
195,1,,
196,0,,
197,1,,
198,0,,
199,1,,
200,1,,
201,1,,
202,0,,
203,1,,
204,0,,
205,0,,
206,1,,
207,0,,
208,1,,
209,0,,
210,1,,
211,0,,
212,1,,
213,1,,
214,0,,
215,1,,
216,1,,
217,0,,
218,0,,
219,1,,
220,1,,
221,1,,
222,1,,
223,0,,
224,1,,
225,1,,
226,1,,
227,1,,
228,0,,
229,1,,
230,1,,
231,0,,
232,1,,
