Analysis data for 5-pattern-pattern algorithm on y signals for n = 2000
# of comparisons: 3055, regression equation: ,execution time: 0.001999 s
# of exchanges: 6, regression equation: 
count,incoming signal,x signal,y signal
0,0,0,1
1,1,,0
2,1,,1
3,0,,1
4,0,,0
5,0,,
6,0,,
7,1,,
8,1,,
9,0,,
10,1,,
11,0,,
12,0,,
13,1,,
14,0,,
15,1,,
16,1,,
17,1,,
18,1,,
19,0,,
20,0,,
21,1,,
22,1,,
23,0,,
24,1,,
25,1,,
26,1,,
27,1,,
28,1,,
29,0,,
30,1,,
31,1,,
32,1,,
33,1,,
34,0,,
35,1,,
36,0,,
37,1,,
38,0,,
39,1,,
40,1,,
41,1,,
42,0,,
43,0,,
44,1,,
45,1,,
46,1,,
47,1,,
48,1,,
49,1,,
50,1,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,1,,
57,1,,
58,0,,
59,1,,
60,1,,
61,1,,
62,0,,
63,0,,
64,1,,
65,1,,
66,1,,
67,0,,
68,1,,
69,1,,
70,1,,
71,1,,
72,1,,
73,1,,
74,0,,
75,1,,
76,0,,
77,1,,
78,0,,
79,1,,
80,1,,
81,0,,
82,1,,
83,1,,
84,1,,
85,1,,
86,1,,
87,1,,
88,1,,
89,1,,
90,1,,
91,0,,
92,0,,
93,1,,
94,0,,
95,1,,
96,1,,
97,0,,
98,1,,
99,1,,
100,0,,
101,0,,
102,0,,
103,1,,
104,0,,
105,1,,
106,1,,
107,0,,
108,0,,
109,1,,
110,0,,
111,0,,
112,0,,
113,1,,
114,0,,
115,1,,
116,0,,
117,1,,
118,0,,
119,1,,
120,1,,
121,1,,
122,0,,
123,1,,
124,1,,
125,1,,
126,1,,
127,1,,
128,0,,
129,1,,
130,0,,
131,1,,
132,0,,
133,0,,
134,1,,
135,0,,
136,1,,
137,1,,
138,1,,
139,1,,
140,0,,
141,0,,
142,1,,
143,1,,
144,0,,
145,1,,
146,0,,
147,0,,
148,0,,
149,1,,
150,1,,
151,0,,
152,0,,
153,1,,
154,0,,
155,0,,
156,0,,
157,0,,
158,0,,
159,1,,
160,1,,
161,1,,
162,1,,
163,1,,
164,0,,
165,1,,
166,1,,
167,1,,
168,1,,
169,1,,
170,1,,
171,0,,
172,1,,
173,1,,
174,1,,
175,0,,
176,0,,
177,0,,
178,1,,
179,1,,
180,0,,
181,1,,
182,1,,
183,1,,
184,1,,
185,1,,
186,1,,
187,0,,
188,1,,
189,1,,
190,1,,
191,1,,
192,1,,
193,1,,
194,1,,
195,0,,
196,0,,
197,1,,
198,1,,
199,0,,
200,0,,
201,0,,
202,0,,
203,0,,
204,1,,
205,1,,
206,1,,
207,1,,
208,1,,
209,0,,
210,0,,
211,0,,
212,0,,
213,0,,
214,1,,
215,0,,
216,1,,
217,0,,
218,0,,
219,0,,
220,0,,
221,1,,
222,0,,
223,0,,
224,0,,
225,1,,
226,0,,
227,0,,
228,1,,
229,1,,
230,0,,
231,0,,
232,0,,
233,1,,
234,0,,
235,0,,
236,1,,
237,0,,
238,0,,
239,0,,
240,0,,
241,1,,
242,1,,
243,1,,
244,0,,
245,1,,
246,1,,
247,0,,
248,0,,
249,0,,
250,0,,
251,1,,
252,0,,
253,0,,
254,1,,
255,1,,
256,1,,
257,1,,
258,0,,
259,1,,
260,1,,
261,0,,
262,0,,
263,1,,
264,0,,
265,1,,
266,0,,
267,1,,
268,1,,
269,0,,
270,0,,
271,0,,
272,0,,
273,1,,
274,0,,
275,1,,
276,0,,
277,0,,
278,1,,
279,0,,
280,0,,
281,0,,
282,0,,
283,0,,
284,0,,
285,1,,
286,0,,
287,1,,
288,1,,
289,0,,
290,1,,
291,0,,
292,0,,
293,1,,
294,1,,
295,0,,
296,0,,
297,0,,
298,1,,
299,1,,
300,0,,
301,0,,
302,0,,
303,1,,
304,1,,
305,1,,
306,1,,
307,1,,
308,1,,
309,1,,
310,1,,
311,0,,
312,1,,
313,0,,
314,0,,
315,0,,
316,0,,
317,0,,
318,1,,
319,1,,
320,0,,
321,0,,
322,0,,
323,0,,
324,0,,
325,1,,
326,0,,
327,1,,
328,1,,
329,1,,
330,1,,
331,1,,
332,0,,
333,1,,
334,0,,
335,0,,
336,1,,
337,1,,
338,0,,
339,1,,
340,0,,
341,1,,
342,1,,
343,1,,
344,0,,
345,1,,
346,0,,
347,1,,
348,0,,
349,0,,
350,0,,
351,1,,
352,1,,
353,0,,
354,0,,
355,1,,
356,0,,
357,1,,
358,1,,
359,0,,
360,0,,
361,0,,
362,0,,
363,0,,
364,0,,
365,1,,
366,0,,
367,1,,
368,0,,
369,1,,
370,1,,
371,0,,
372,1,,
373,1,,
374,0,,
375,0,,
376,1,,
377,1,,
378,0,,
379,1,,
380,1,,
381,0,,
382,1,,
383,1,,
384,1,,
385,1,,
386,1,,
387,0,,
388,1,,
389,1,,
390,0,,
391,1,,
392,0,,
393,0,,
394,0,,
395,0,,
396,0,,
397,1,,
398,0,,
399,0,,
400,1,,
401,1,,
402,0,,
403,1,,
404,1,,
405,0,,
406,0,,
407,1,,
408,1,,
409,1,,
410,0,,
411,0,,
412,1,,
413,0,,
414,0,,
415,1,,
416,0,,
417,0,,
418,0,,
419,0,,
420,0,,
421,0,,
422,0,,
423,0,,
424,1,,
425,0,,
426,1,,
427,1,,
428,0,,
429,1,,
430,1,,
431,0,,
432,0,,
433,1,,
434,0,,
435,1,,
436,0,,
437,0,,
438,1,,
439,0,,
440,0,,
441,0,,
442,0,,
443,0,,
444,0,,
445,0,,
446,1,,
447,0,,
448,1,,
449,0,,
450,0,,
451,0,,
452,0,,
453,1,,
454,1,,
455,1,,
456,0,,
457,0,,
458,1,,
459,1,,
460,0,,
461,0,,
462,0,,
463,1,,
464,1,,
465,1,,
466,1,,
467,0,,
468,1,,
469,0,,
470,1,,
471,1,,
472,1,,
473,1,,
474,0,,
475,1,,
476,0,,
477,0,,
478,1,,
479,0,,
480,1,,
481,1,,
482,1,,
483,0,,
484,0,,
485,0,,
486,1,,
487,0,,
488,1,,
489,0,,
490,0,,
491,0,,
492,1,,
493,0,,
494,1,,
495,0,,
496,0,,
497,1,,
498,1,,
499,0,,
500,0,,
501,1,,
502,1,,
503,1,,
504,0,,
505,0,,
506,0,,
507,0,,
508,1,,
509,1,,
510,0,,
511,0,,
512,1,,
513,0,,
514,0,,
515,0,,
516,1,,
517,0,,
518,0,,
519,0,,
520,0,,
521,1,,
522,0,,
523,0,,
524,1,,
525,0,,
526,1,,
527,1,,
528,1,,
529,0,,
530,1,,
531,0,,
532,0,,
533,1,,
534,1,,
535,0,,
536,0,,
537,0,,
538,1,,
539,1,,
540,0,,
541,0,,
542,1,,
543,0,,
544,1,,
545,0,,
546,1,,
547,1,,
548,0,,
549,0,,
550,1,,
551,1,,
552,1,,
553,1,,
554,1,,
555,0,,
556,0,,
557,0,,
558,1,,
559,0,,
560,0,,
561,1,,
562,0,,
563,1,,
564,1,,
565,1,,
566,1,,
567,1,,
568,1,,
569,1,,
570,1,,
571,1,,
572,0,,
573,1,,
574,1,,
575,0,,
576,1,,
577,0,,
578,1,,
579,0,,
580,1,,
581,1,,
582,1,,
583,1,,
584,1,,
585,1,,
586,0,,
587,0,,
588,0,,
589,1,,
590,1,,
591,1,,
592,0,,
593,0,,
594,1,,
595,1,,
596,0,,
597,1,,
598,0,,
599,1,,
600,0,,
601,0,,
602,1,,
603,0,,
604,1,,
605,1,,
606,0,,
607,0,,
608,0,,
609,1,,
610,1,,
611,1,,
612,1,,
613,1,,
614,1,,
615,0,,
616,0,,
617,0,,
618,1,,
619,1,,
620,1,,
621,1,,
622,1,,
623,1,,
624,0,,
625,0,,
626,0,,
627,1,,
628,0,,
629,0,,
630,0,,
631,1,,
632,0,,
633,1,,
634,1,,
635,0,,
636,1,,
637,0,,
638,1,,
639,0,,
640,0,,
641,1,,
642,1,,
643,0,,
644,1,,
645,1,,
646,1,,
647,1,,
648,0,,
649,1,,
650,0,,
651,0,,
652,1,,
653,1,,
654,0,,
